"City","Sport","Discipline","Athlete","NOC","Gender","Event","Event_gender","Medal","Year","Country"
"Moscow","Cycling","Cycling Track","PANFILOV, Aleksandr","URS","Men","1km time trial","M","Silver",1980,NA
"Moscow","Cycling","Cycling Track","Ã–RSTED, Hans-Henrik","DEN","Men","Individual Pursuit","M","Bronze",1980,"Denmark"
"Moscow","Cycling","Cycling Track","DILL-BUNDI, Robert","SUI","Men","Individual Pursuit","M","Gold",1980,"Switzerland"
"Moscow","Cycling","Cycling Track","BONDUE, Alain","FRA","Men","Individual Pursuit","M","Silver",1980,"France"
"Moscow","Cycling","Cycling Track","KOPYLOV, Sergei","URS","Men","Sprint indivual","M","Bronze",1980,NA
"Moscow","Cycling","Cycling Track","HESSLICH, Lutz","GDR","Men","Sprint indivual","M","Gold",1980,NA
"Moscow","Cycling","Cycling Track","CAHARD, Yave","FRA","Men","Sprint indivual","M","Silver",1980,"France"
"Moscow","Cycling","Cycling Track","CERNY, Teodor","TCH","Men","Team Pursuit (4000m)","M","Bronze",1980,NA
"Moscow","Cycling","Cycling Track","PENC, Martin","TCH","Men","Team Pursuit (4000m)","M","Bronze",1980,NA
"Moscow","Cycling","Cycling Track","POKORNY, Jiri","TCH","Men","Team Pursuit (4000m)","M","Bronze",1980,NA
"Moscow","Cycling","Cycling Track","SLAMA, Igor","TCH","Men","Team Pursuit (4000m)","M","Bronze",1980,NA
"Moscow","Cycling","Cycling Track","MANAKOV, Viktor","URS","Men","Team Pursuit (4000m)","M","Gold",1980,NA
"Moscow","Cycling","Cycling Track","MOVCHAN, Valeri","URS","Men","Team Pursuit (4000m)","M","Gold",1980,NA
"Moscow","Cycling","Cycling Track","OSOKIN, Vladimir","URS","Men","Team Pursuit (4000m)","M","Gold",1980,NA
"Moscow","Cycling","Cycling Track","PETRAKOV, Vitali","URS","Men","Team Pursuit (4000m)","M","Gold",1980,NA
"Moscow","Cycling","Cycling Track","MORTAG, Gerald","GDR","Men","Team Pursuit (4000m)","M","Silver",1980,NA
"Moscow","Cycling","Cycling Track","UNTERWALDER, Uwe","GDR","Men","Team Pursuit (4000m)","M","Silver",1980,NA
"Moscow","Cycling","Cycling Track","WIEGAND, Matthias","GDR","Men","Team Pursuit (4000m)","M","Silver",1980,NA
"Moscow","Cycling","Cycling Track","WINKLER, Volker","GDR","Men","Team Pursuit (4000m)","M","Silver",1980,NA
"Moscow","Equestrian","Dressage","UGRYUMOV, Viktor","URS","Men","individual","X","Bronze",1980,NA
"Moscow","Equestrian","Dressage","IGROK","URS","Men","individual","X","Silver",1980,NA
"Moscow","Equestrian","Dressage","KOVSHOV, Yuri","URS","Men","individual","X","Silver",1980,NA
"Moscow","Equestrian","Dressage","THEURER-MAX, Elisabeth","AUT","Women","individual","X","Gold",1980,"Austria"
"Moscow","Equestrian","Dressage","DECEBAL","ROU","Men","team","X","Bronze",1980,NA
"Moscow","Equestrian","Dressage","DERBIST","ROU","Men","team","X","Bronze",1980,NA
"Moscow","Equestrian","Dressage","DONESCU, Anghelache","ROU","Men","team","X","Bronze",1980,NA
"Moscow","Equestrian","Dressage","ROSCA, Petre","ROU","Men","team","X","Bronze",1980,NA
"Moscow","Equestrian","Dressage","VELIKU, Dumitru","ROU","Men","team","X","Bronze",1980,NA
"Moscow","Equestrian","Dressage","IGROK","URS","Men","team","X","Gold",1980,NA
"Moscow","Equestrian","Dressage","KOVSHOV, Yuri","URS","Men","team","X","Gold",1980,NA
"Moscow","Equestrian","Dressage","PLOT","URS","Men","team","X","Gold",1980,NA
"Moscow","Equestrian","Dressage","UGRYUMOV, Viktor","URS","Men","team","X","Gold",1980,NA
"Moscow","Equestrian","Dressage","ALEKO","BUL","Men","team","X","Silver",1980,"Bulgaria"
"Moscow","Equestrian","Dressage","GADZHEV, Georgi","BUL","Men","team","X","Silver",1980,"Bulgaria"
"Moscow","Equestrian","Dressage","IVANOV, Svetoslav","BUL","Men","team","X","Silver",1980,"Bulgaria"
"Moscow","Equestrian","Dressage","MANDADZHIEV, Petr","BUL","Men","team","X","Silver",1980,"Bulgaria"
"Moscow","Equestrian","Dressage","SCHIBOR","BUL","Men","team","X","Silver",1980,"Bulgaria"
"Moscow","Equestrian","Dressage","MISEVICH, Vera","URS","Women","team","X","Gold",1980,NA
"Moscow","Equestrian","Eventing","PINTSET","URS","Men","individual","X","Bronze",1980,NA
"Moscow","Equestrian","Eventing","SALNIKOV, Yuri","URS","Men","individual","X","Bronze",1980,NA
"Moscow","Equestrian","Eventing","ROMAN, Federico Euro","ITA","Men","individual","X","Gold",1980,"Italy"
"Moscow","Equestrian","Eventing","BLINOV, Aleksandr","URS","Men","individual","X","Silver",1980,NA
"Moscow","Equestrian","Eventing","GALZUN","URS","Men","individual","X","Silver",1980,NA
"Moscow","Equestrian","Eventing","BARCENA RIOS, David","MEX","Men","team","X","Bronze",1980,"Mexico"
"Moscow","Equestrian","Eventing","MENDIVIL YOCUPICIO, Manuel","MEX","Men","team","X","Bronze",1980,"Mexico"
"Moscow","Equestrian","Eventing","PEREZ SOTO, Soto Jose Luis","MEX","Men","team","X","Bronze",1980,"Mexico"
"Moscow","Equestrian","Eventing","VAZQUEZ, Fabian","MEX","Men","team","X","Bronze",1980,"Mexico"
"Moscow","Equestrian","Eventing","BLINOV, Aleksandr","URS","Men","team","X","Gold",1980,NA
"Moscow","Equestrian","Eventing","GALZUN","URS","Men","team","X","Gold",1980,NA
"Moscow","Equestrian","Eventing","GELESPONT","URS","Men","team","X","Gold",1980,NA
"Moscow","Equestrian","Eventing","PINTSET","URS","Men","team","X","Gold",1980,NA
"Moscow","Equestrian","Eventing","ROGOZHIN, Sergei","URS","Men","team","X","Gold",1980,NA
"Moscow","Equestrian","Eventing","SALNIKOV, Yuri","URS","Men","team","X","Gold",1980,NA
"Moscow","Equestrian","Eventing","TSKHETI","URS","Men","team","X","Gold",1980,NA
"Moscow","Equestrian","Eventing","VOLKOV, Valeri","URS","Men","team","X","Gold",1980,NA
"Moscow","Equestrian","Eventing","ROMAN, Federico Euro","ITA","Men","team","X","Silver",1980,"Italy"
"Moscow","Equestrian","Eventing","ROMAN, Mauro","ITA","Men","team","X","Silver",1980,"Italy"
"Moscow","Equestrian","Eventing","BOMBONA","MEX","Women","team","X","Bronze",1980,"Mexico"
"Moscow","Equestrian","Eventing","CASAGRANDE, Anna","ITA","Women","team","X","Silver",1980,"Italy"
"Moscow","Equestrian","Eventing","SCIOCCHETTI, Marina","ITA","Women","team","X","Silver",1980,"Italy"
"Moscow","Equestrian","Jumping","PEREZ DE LA HERAS, Joaquin","MEX","Men","individual","X","Bronze",1980,"Mexico"
"Moscow","Equestrian","Jumping","KOWALCZYK, Jan","POL","Men","individual","X","Gold",1980,"Poland"
"Moscow","Equestrian","Jumping","ESPADRON","URS","Men","individual","X","Silver",1980,NA
"Moscow","Equestrian","Jumping","KOROLKOV, Nikolai","URS","Men","individual","X","Silver",1980,NA
"Moscow","Equestrian","Jumping","GOMEZ PORTUGAL, Jesus","MEX","Men","team","X","Bronze",1980,"Mexico"
"Moscow","Equestrian","Jumping","PEREZ DE LA HERAS, Joaquin","MEX","Men","team","X","Bronze",1980,"Mexico"
"Moscow","Equestrian","Jumping","TAZZER VALENCIA, Valencia Gerardo","MEX","Men","team","X","Bronze",1980,"Mexico"
"Moscow","Equestrian","Jumping","VALDES LACARRA, Alberto","MEX","Men","team","X","Bronze",1980,"Mexico"
"Moscow","Equestrian","Jumping","ASMAEV, Viktor","URS","Men","team","X","Gold",1980,NA
"Moscow","Equestrian","Jumping","CHUKANOV, Viacheslav","URS","Men","team","X","Gold",1980,NA
"Moscow","Equestrian","Jumping","ESPADRON","URS","Men","team","X","Gold",1980,NA
"Moscow","Equestrian","Jumping","GEPATIT","URS","Men","team","X","Gold",1980,NA
"Moscow","Equestrian","Jumping","KOROLKOV, Nikolai","URS","Men","team","X","Gold",1980,NA
"Moscow","Equestrian","Jumping","POGANOVSKI, Viktor","URS","Men","team","X","Gold",1980,NA
"Moscow","Equestrian","Jumping","REIS","URS","Men","team","X","Gold",1980,NA
"Moscow","Equestrian","Jumping","TOPKI","URS","Men","team","X","Gold",1980,NA
"Moscow","Equestrian","Jumping","BOBIK, Janusz","POL","Men","team","X","Silver",1980,"Poland"
"Moscow","Equestrian","Jumping","HARTMAN, Wieslaw","POL","Men","team","X","Silver",1980,"Poland"
"Moscow","Equestrian","Jumping","KOWALCZYK, Jan","POL","Men","team","X","Silver",1980,"Poland"
"Moscow","Equestrian","Jumping","KOZICKI, Marian","POL","Men","team","X","Silver",1980,"Poland"
"Moscow","Equestrian","Jumping","LADY MIRKA","MEX","Women","team","X","Bronze",1980,"Mexico"
"Moscow","Fencing","Fencing","RIBOUD, Philippe","FRA","Men","Ã©pÃ©e individual","M","Bronze",1980,"France"
